id,name,categoryId,priceGBP,unit,inStock,image,description,ingredients,allergens

palm-oil-1l,Red Palm Oil,oils,6.99,1L,true,/products/palm-oil.jpg,"Traditional West African red palm oil used for stews, soups, and frying. Rich colour and flavour.","100% Palm oil",""
suya-spice-100g,Suya Spice Mix,spices,3.49,100g,true,/products/suya.jpg,"A bold, smoky Nigerian spice blend for grilled meats, chicken, fish, and roasted vegetables.","Peanut, Paprika, Ginger, Chilli, Salt, Onion powder, Garlic powder","Peanuts"
brown-beans,Brown Beans,grains,3.99,1kg,true,/products/brown-beans.jpg,"Dried brown beans commonly used in stews and porridge.","Brown beans",""
white-beans,White Beans,grains,3.99,1kg,true,/products/white-beans.jpg,"Dried white beans suitable for soups and stews.","White beans",""
semo,Semo,grains,4.49,1.5kg,true,/products/semo.jpg,"Refined wheat semolina used for making swallows.","Wheat semolina","Gluten"
poundo,Poundo,grains,4.49,1.5kg,true,/products/poundo.jpg,"Cassava-based swallow similar to fufu.","Cassava",""
basmati-rice,Basmati Rice,rice,9.99,5kg,true,/products/basmati-rice.jpg,"Long-grain aromatic rice suitable for everyday meals.","Basmati rice",""
garri,Garri,grains,3.49,1kg,true,/products/garri.jpg,"Cassava granules used for eba or soaked garri.","Cassava",""
maggi,Maggi Cubes,spices,2.49,100g,true,/products/maggi.jpg,"Seasoning cubes used to enhance flavour.","Salt|Seasoning",""
groundnut-oil,Groundnut Oil,oils,6.99,1L,true,/products/groundnut-oil.jpg,"Pure groundnut oil for cooking and frying.","Groundnut oil","Peanuts"
plantain-chips,Plantain Chips,snacks,2.99,150g,true,/products/plantain-chips.jpg,"Crispy fried plantain chips.","Plantain|Vegetable oil",""
peanuts,Peanuts,snacks,2.99,250g,true,/products/peanuts.jpg,"Roasted peanuts for snacking.","Peanuts","Peanuts"
yam,Yam,tubers,4.99,1 tuber,true,/products/yam.jpg,"Fresh yam suitable for boiling, frying, or pounding.","Yam",""
plantain,Plantain,tubers,2.99,1 bunch,true,/products/plantain.jpg,"Fresh ripe or unripe plantain.","Plantain",""
mackerel-fish,Mackerel Fish,fish,5.99,1kg,true,/products/mackerel.jpg,"Frozen mackerel fish commonly used in stews.","Mackerel","Fish"
croaker-fish,Croaker Fish,fish,6.49,1kg,true,/products/croaker.jpg,"Frozen croaker fish.","Croaker fish","Fish"
sardine-fish,Sardine Fish,fish,3.99,400g,true,/products/sardine.jpg,"Canned sardines in oil or tomato sauce.","Sardine fish","Fish"
butter,Butter,dairy,2.49,250g,true,/products/butter.jpg,"Creamy dairy butter for cooking and baking.","Milk","Milk"
thyme,Thyme,spices,1.49,50g,true,/products/thyme.jpg,"Dried thyme seasoning.","Thyme",""
curry-powder,Curry Powder,spices,1.99,100g,true,/products/curry.jpg,"Blended curry spice mix.","Spices",""
coffee,Coffee,drinks,3.99,200g,true,/products/coffee.jpg,"Instant coffee for hot beverages.","Coffee beans",""
tin-milk,Tinned Milk,dairy,2.49,400g,true,/products/tin-milk.jpg,"Evaporated milk for beverages and cooking.","Milk","Milk"
ginger,Ginger,spices,1.49,100g,true,/products/ginger.jpg,"Dried or ground ginger spice.","Ginger",""
cloves,Cloves,spices,1.49,50g,true,/products/cloves.jpg,"Whole cloves spice.","Cloves",""
nutmeg,Nutmeg,spices,1.49,50g,true,/products/nutmeg.jpg,"Ground nutmeg spice.","Nutmeg",""
garlic,Garlic,spices,1.49,100g,true,/products/garlic.jpg,"Dried or ground garlic.","Garlic",""
crayfish,Crayfish,fish,3.99,100g,true,/products/crayfish.jpg,"Dried crayfish used for soups and sauces.","Crayfish","Shellfish"
malt,Malt Drink,drinks,1.99,330ml,true,/products/malt.jpg,"Non-alcoholic malt beverage.","Barley","Gluten"
fanta,Fanta,drinks,1.29,330ml,true,/products/fanta.jpg,"Orange flavoured soft drink.","Carbonated drink",""
coke,Coca-Cola,drinks,1.29,330ml,true,/products/coke.jpg,"Carbonated cola soft drink.","Carbonated drink",""
vita-milk,Vita Milk,drinks,1.99,330ml,true,/products/vita-milk.jpg,"Milk-based malt drink.","Milk|Barley","Milk|Gluten"

all-purpose-seasoning,All Purpose Seasoning,spices,2.49,100g,true,/products/all-purpose-seasoning.jpg,"All purpose seasoning blend for everyday cooking.","Salt,Spices,Garlic",""
barbecue-seasoning,Barbecue Seasoning,spices,2.49,100g,true,/products/barbecue-seasoning.jpg,"Smoky barbecue seasoning mix.","Salt,Spices,Paprika",""
bonga-fish-fillet,Bonga Fish Fillet,fish,6.99,1kg,true,/products/bonga-fillet.jpg,"Frozen bonga fish fillet used in soups and stews.","Fish","Fish"
bournvita,Bournvita,dairy,4.99,400g,true,/products/bournvita.jpg,"Chocolate malt beverage powder.","Milk,Cocoa,Barley","Milk,Gluten"
bread-crumbs,Bread Crumbs,grains,1.99,200g,true,/products/bread-crumbs.jpg,"Bread crumbs used for coating and baking.","Wheat","Gluten"
carnation-milk,Carnation Milk,dairy,2.49,400g,true,/products/carnation-milk.jpg,"Evaporated milk for beverages and cooking.","Milk","Milk"
catfish-fillet,Catfish Fillet,fish,7.99,1kg,true,/products/catfish-fillet.jpg,"Fresh or frozen catfish fillet.","Fish","Fish"
checkers-custard,Checkers Custard,dairy,3.99,500g,true,/products/checkers-custard.jpg,"Vanilla custard powder for desserts.","Corn starch,Flavouring",""
chicken-seasoning,Chicken Seasoning,spices,2.49,100g,true,/products/chicken-seasoning.jpg,"Seasoning mix specially blended for chicken dishes.","Salt,Spices",""
cocoyam,Cocoyam,tubers,5.99,1kg,true,/products/cocoyam.jpg,"Fresh cocoyam used for soups and stews.","Cocoyam",""
coconut-milk,Coconut Milk,tin,2.49,400ml,true,/products/coconut-milk.jpg,"Coconut milk used for cooking and curries.","Coconut",""
coconut-peanut-snack,Coconut Peanut Snack,snacks,2.49,200g,true,/products/coconut-peanut.jpg,"Sweet coconut and peanut snack.","Peanut,Coconut","Peanuts"
corned-beef,Corned Beef,tin,3.99,340g,true,/products/corned-beef.jpg,"Canned corned beef used in stews and sandwiches.","Beef",""
crayfish-stock-cube,Crayfish Stock Cube,spices,2.49,100g,true,/products/crayfish-stock.jpg,"Stock cubes with crayfish flavour.","Salt,Crayfish","Shellfish"
custard-powder-bucket,Custard Powder Bucket,dairy,6.99,1kg,true,/products/custard-bucket.jpg,"Custard powder bucket for desserts.","Corn starch,Flavouring",""
dried-iru,Dried Iru,spices,3.49,100g,true,/products/dried-iru.jpg,"Fermented locust beans used in Nigerian soups.","Locust beans",""
yam-flour-elubo,Elubo Yam Flour,grains,5.99,1kg,true,/products/elubo.jpg,"Yam flour used for amala.","Yam flour",""
potato-starch,Potato Starch,grains,2.99,200g,true,/products/potato-starch.jpg,"Potato starch used for thickening.","Potato starch",""
garlic-paste,Garlic Paste,spices,2.49,100g,true,/products/garlic-paste.jpg,"Fresh garlic paste for cooking.","Garlic",""
geisha-tomato-paste,Geisha Tomato Paste,tin,1.49,210g,true,/products/geisha-tomato.jpg,"Tomato paste used in sauces and stews.","Tomato",""
golden-morn,Golden Morn,grains,3.49,500g,true,/products/golden-morn.jpg,"Maize cereal for breakfast.","Maize,Soy",""
golden-sella-basmati-rice,Golden Sella Basmati Rice,rice,12.99,10kg,true,/products/golden-sella-basmati-rice.jpg,"Premium parboiled basmati rice.","Rice",""
ground-black-pepper,Ground Black Pepper,spices,1.99,100g,true,/products/ground-black-pepper.jpg,"Ground black pepper spice.","Black pepper",""
guinness-malt,Guinness Malt,drinks,1.99,330ml,true,/products/guinness-malt.jpg,"Non alcoholic malt drink.","Barley","Gluten"
caribbean-hot-curry,Caribbean Hot Curry,spices,2.49,100g,true,/products/hot-caribbean-curry.jpg,"Hot Caribbean curry seasoning.","Spices",""
hot-pepper,Hot Pepper,spices,1.99,100g,true,/products/hot-pepper.jpg,"Hot pepper spice used in sauces.","Pepper",""
indomie-noodles,Indomie Instant Noodles,tin,0.79,pack,true,/products/indomie.jpg,"Instant noodles.","Wheat","Gluten"
aromat-jumbo,Aromat Jumbo Seasoning,spices,3.49,200g,true,/products/aromat-jumbo.jpg,"Large pack all purpose seasoning.","Salt,Spices",""
maize-meal,Maize Meal,grains,2.99,1kg,true,/products/maize-meal.jpg,"Ground maize flour.","Maize",""
maltina,Maltina,drinks,1.99,330ml,true,/products/maltina.jpg,"Non alcoholic malt drink.","Barley","Gluten"
milo,Milo Chocolate Drink,dairy,4.99,400g,true,/products/milo.jpg,"Chocolate malt drink powder.","Milk,Cocoa","Milk"
nido-milk,Nido Milk Powder,dairy,5.99,400g,true,/products/nido-milk.jpg,"Powdered milk.","Milk","Milk"
